run_id,hostname,timestamp_utc,ncpus,mem_gib,run_vus,warehouses,wh_per_vu,wh_per_vu_configured,build_vus,shared_buffers_gb,effective_cache_size_gb,synchronous_commit,pg_data_storage,pg_tmpfs_size_gib,rampup_min,duration_min,pg_image,hammerdb_image,build_seconds,db_size_bytes,db_size_pretty,db_size_gib,run_seconds,nopm,tpm,nopm_per_vu,tpm_per_vu,nopm_per_core,tpm_per_core,raw_build_log,raw_db_size,raw_run_log,error
20260717T083335Z_sc-runner,sc-runner,2026-07-17T08:33:35.668005+00:00,16,125.8,4,20,5.0,5,4,31,94,off,anonymous_volume,,2,5,postgres:18,tpcorg/hammerdb:postgres,85.3,2071896591,1976 MB,1.9296,438.9,268403,616472,67100.8,154118.0,67100.8,154118.0,,,,
20260717T083335Z_sc-runner,sc-runner,2026-07-17T08:42:26.094174+00:00,16,125.8,8,40,5.0,5,8,31,94,off,anonymous_volume,,2,5,postgres:18,tpcorg/hammerdb:postgres,103.0,4120871439,3930 MB,3.8379,452.3,372917,859343,46614.6,107417.9,46614.6,107417.9,,,,
20260717T083335Z_sc-runner,sc-runner,2026-07-17T08:51:48.394224+00:00,16,125.8,16,80,5.0,5,16,31,94,off,anonymous_volume,,2,5,postgres:18,tpcorg/hammerdb:postgres,225.7,8218493455,7838 MB,7.6541,467.7,478643,1100224,29915.2,68764.0,29915.2,68764.0,,,,
20260717T083335Z_sc-runner,sc-runner,2026-07-17T09:03:29.982728+00:00,16,125.8,32,160,5.0,5,32,31,94,unknown,anonymous_volume,,2,5,postgres:18,tpcorg/hammerdb:postgres,400.7,16427614735,15 GB,15.2994,470.3,382906,879967,11965.8,27499.0,11965.8,27499.0,,,,
20260717T083335Z_sc-runner,sc-runner,2026-07-17T09:18:09.148791+00:00,16,125.8,64,320,5.0,5,64,31,94,off,anonymous_volume,,2,5,postgres:18,tpcorg/hammerdb:postgres,777.3,32703701519,30 GB,30.4577,530.3,209903,482034,3279.7,7531.8,3279.7,7531.8,,,,
