run_id,hostname,timestamp_utc,ncpus,mem_gib,run_vus,warehouses,wh_per_vu,wh_per_vu_configured,build_vus,shared_buffers_gb,effective_cache_size_gb,synchronous_commit,pg_data_storage,pg_tmpfs_size_gib,rampup_min,duration_min,pg_image,hammerdb_image,build_seconds,db_size_bytes,db_size_pretty,db_size_gib,run_seconds,nopm,tpm,nopm_per_vu,tpm_per_vu,nopm_per_core,tpm_per_core,raw_build_log,raw_db_size,raw_run_log,error
20260716T194740Z_sc-runner,sc-runner,2026-07-16T19:47:43.967602+00:00,16,125.8,4,20,5.0,5,4,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,71.0,2071003663,1975 MB,1.9288,436.4,273513,628916,68378.2,157229.0,68378.2,157229.0,raw/vu04_build.log,raw/vu04_db_size.json,raw/vu04_run.log,
20260716T194740Z_sc-runner,sc-runner,2026-07-16T19:56:16.397325+00:00,16,125.8,8,40,5.0,5,8,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,83.4,4121403919,3930 MB,3.8384,446.4,418753,962777,52344.1,120347.1,52344.1,120347.1,raw/vu08_build.log,raw/vu08_db_size.json,raw/vu08_run.log,
20260716T194740Z_sc-runner,sc-runner,2026-07-16T20:05:12.446193+00:00,16,125.8,16,80,5.0,5,16,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,123.9,8217952783,7837 MB,7.6536,453.5,584031,1342709,36501.9,83919.3,36501.9,83919.3,raw/vu16_build.log,raw/vu16_db_size.json,raw/vu16_run.log,
20260716T194740Z_sc-runner,sc-runner,2026-07-16T20:14:57.661417+00:00,16,125.8,32,160,5.0,5,32,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,228.2,16423338511,15 GB,15.2954,451.4,507743,1169578,15867.0,36549.3,15867.0,36549.3,raw/vu32_build.log,raw/vu32_db_size.json,raw/vu32_run.log,
20260716T194740Z_sc-runner,sc-runner,2026-07-16T20:26:27.244078+00:00,16,125.8,64,320,5.0,5,64,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,450.0,32844726799,31 GB,30.589,446.5,425382,978098,6646.6,15282.8,6646.6,15282.8,raw/vu64_build.log,raw/vu64_db_size.json,raw/vu64_run.log,
