run_id,hostname,timestamp_utc,ncpus,mem_gib,run_vus,warehouses,wh_per_vu,wh_per_vu_configured,build_vus,shared_buffers_gb,effective_cache_size_gb,synchronous_commit,pg_data_storage,pg_tmpfs_size_gib,rampup_min,duration_min,pg_image,hammerdb_image,build_seconds,db_size_bytes,db_size_pretty,db_size_gib,run_seconds,nopm,tpm,nopm_per_vu,tpm_per_vu,nopm_per_core,tpm_per_core,raw_build_log,raw_db_size,raw_run_log,error
20260717T115935Z_sc-runner,sc-runner,2026-07-17T11:59:35.785408+00:00,16,125.8,4,20,5.0,5,4,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,72.4,2071855631,1976 MB,1.9296,437.3,283922,653786,70980.5,163446.5,70980.5,163446.5,,,,
20260717T115935Z_sc-runner,sc-runner,2026-07-17T12:08:14.502696+00:00,16,125.8,8,40,5.0,5,8,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,73.3,4121190927,3930 MB,3.8382,447.5,521862,1198987,65232.8,149873.4,65232.8,149873.4,,,,
20260717T115935Z_sc-runner,sc-runner,2026-07-17T12:17:01.685612+00:00,16,125.8,16,80,5.0,5,16,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,105.3,8218731023,7838 MB,7.6543,464.5,748911,1723004,46806.9,107687.8,46806.9,107687.8,,,,
20260717T115935Z_sc-runner,sc-runner,2026-07-17T12:26:40.037218+00:00,16,125.8,32,160,5.0,5,32,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,182.7,16426508815,15 GB,15.2984,459.5,645730,1486828,20179.1,46463.4,20179.1,46463.4,,,,
20260717T115935Z_sc-runner,sc-runner,2026-07-17T12:37:32.590840+00:00,16,125.8,64,320,5.0,5,64,31,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,332.0,32706511375,30 GB,30.4603,459.7,591535,1361495,9242.7,21273.4,9242.7,21273.4,,,,
