run_id,hostname,timestamp_utc,ncpus,mem_gib,run_vus,warehouses,wh_per_vu,wh_per_vu_configured,build_vus,shared_buffers_gb,effective_cache_size_gb,synchronous_commit,pg_data_storage,pg_tmpfs_size_gib,rampup_min,duration_min,pg_image,hammerdb_image,build_seconds,db_size_bytes,db_size_pretty,db_size_gib,run_seconds,nopm,tpm,nopm_per_vu,tpm_per_vu,nopm_per_core,tpm_per_core,raw_build_log,raw_db_size,raw_run_log,error
20260718T033422Z_sc-runner,sc-runner,2026-07-18T03:34:22.285326+00:00,16,125.8,4,20,5.0,5,4,12,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,72.5,2071511567,1976 MB,1.9292,439.3,275172,632798,68793.0,158199.5,68793.0,158199.5,,,,
20260718T033422Z_sc-runner,sc-runner,2026-07-18T03:43:04.950677+00:00,16,125.8,8,40,5.0,5,8,12,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,83.4,4121993743,3931 MB,3.8389,445.5,427657,983443,53457.1,122930.4,53457.1,122930.4,,,,
20260718T033422Z_sc-runner,sc-runner,2026-07-18T03:52:02.145854+00:00,16,125.8,16,80,5.0,5,16,12,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,120.2,8219189775,7838 MB,7.6547,452.7,656556,1510732,41034.8,94420.8,41034.8,94420.8,,,,
20260718T033422Z_sc-runner,sc-runner,2026-07-18T04:01:44.582937+00:00,16,125.8,32,160,5.0,5,32,12,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,224.4,16438592015,15 GB,15.3096,454.7,576143,1327572,18004.5,41486.6,18004.5,41486.6,,,,
20260718T033422Z_sc-runner,sc-runner,2026-07-18T04:13:14.189998+00:00,16,125.8,64,320,5.0,5,64,12,94,off,tmpfs,62,2,5,postgres:18,tpcorg/hammerdb:postgres,451.9,32847823375,31 GB,30.5919,452.7,505725,1163397,7902.0,18178.1,7902.0,18178.1,,,,
